transaction_id,sender_id,receiver_id,amount,timestamp
TX000001,CycA1,CycA2,4000.0,2026-01-01 09:00:00
TX000002,CycA2,CycA3,3950.0,2026-01-01 10:00:00
TX000003,CycA3,CycA1,3900.0,2026-01-01 11:00:00
TX000004,CycB1,CycB2,4000.0,2026-01-01 12:00:00
TX000005,CycB2,CycB3,3950.0,2026-01-01 13:00:00
TX000006,CycB3,CycB4,3900.0,2026-01-01 14:00:00
TX000007,CycB4,CycB1,3850.0,2026-01-01 15:00:00
TX000008,CycC1,CycC2,4000.0,2026-01-01 16:00:00
TX000009,CycC2,CycC3,3950.0,2026-01-01 17:00:00
TX000010,CycC3,CycC4,3900.0,2026-01-01 18:00:00
TX000011,CycC4,CycC5,3850.0,2026-01-01 19:00:00
TX000012,CycC5,CycC1,3800.0,2026-01-01 20:00:00
TX000013,SmurfIn_1,Agg_Mule,101.0,2026-01-02 08:01:00
TX000014,SmurfIn_2,Agg_Mule,102.0,2026-01-02 08:02:00
TX000015,SmurfIn_3,Agg_Mule,103.0,2026-01-02 08:03:00
TX000016,SmurfIn_4,Agg_Mule,104.0,2026-01-02 08:04:00
TX000017,SmurfIn_5,Agg_Mule,105.0,2026-01-02 08:05:00
TX000018,SmurfIn_6,Agg_Mule,106.0,2026-01-02 08:06:00
TX000019,SmurfIn_7,Agg_Mule,107.0,2026-01-02 08:07:00
TX000020,SmurfIn_8,Agg_Mule,108.0,2026-01-02 08:08:00
TX000021,SmurfIn_9,Agg_Mule,109.0,2026-01-02 08:09:00
TX000022,SmurfIn_10,Agg_Mule,110.0,2026-01-02 08:10:00
TX000023,SmurfIn_11,Agg_Mule,111.0,2026-01-02 08:11:00
TX000024,SmurfIn_12,Agg_Mule,112.0,2026-01-02 08:12:00
TX000025,SmurfIn_13,Agg_Mule,113.0,2026-01-02 08:13:00
TX000026,SmurfIn_14,Agg_Mule,114.0,2026-01-02 08:14:00
TX000027,SmurfIn_15,Agg_Mule,115.0,2026-01-02 08:15:00
TX000028,SmurfIn_16,Agg_Mule,116.0,2026-01-02 08:16:00
TX000029,SmurfIn_17,Agg_Mule,117.0,2026-01-02 08:17:00
TX000030,SmurfIn_18,Agg_Mule,118.0,2026-01-02 08:18:00
TX000031,SmurfIn_19,Agg_Mule,119.0,2026-01-02 08:19:00
TX000032,SmurfIn_20,Agg_Mule,120.0,2026-01-02 08:20:00
TX000033,SmurfIn_21,Agg_Mule,121.0,2026-01-02 08:21:00
TX000034,SmurfIn_22,Agg_Mule,122.0,2026-01-02 08:22:00
TX000035,SmurfIn_23,Agg_Mule,123.0,2026-01-02 08:23:00
TX000036,SmurfIn_24,Agg_Mule,124.0,2026-01-02 08:24:00
TX000037,SmurfIn_25,Agg_Mule,125.0,2026-01-02 08:25:00
TX000038,SmurfIn_26,Agg_Mule,126.0,2026-01-02 08:26:00
TX000039,SmurfIn_27,Agg_Mule,127.0,2026-01-02 08:27:00
TX000040,SmurfIn_28,Agg_Mule,128.0,2026-01-02 08:28:00
TX000041,SmurfIn_29,Agg_Mule,129.0,2026-01-02 08:29:00
TX000042,SmurfIn_30,Agg_Mule,130.0,2026-01-02 08:30:00
TX000043,SmurfIn_31,Agg_Mule,131.0,2026-01-02 08:31:00
TX000044,SmurfIn_32,Agg_Mule,132.0,2026-01-02 08:32:00
TX000045,SmurfIn_33,Agg_Mule,133.0,2026-01-02 08:33:00
TX000046,SmurfIn_34,Agg_Mule,134.0,2026-01-02 08:34:00
TX000047,SmurfIn_35,Agg_Mule,135.0,2026-01-02 08:35:00
TX000048,SmurfIn_36,Agg_Mule,136.0,2026-01-02 08:36:00
TX000049,SmurfIn_37,Agg_Mule,137.0,2026-01-02 08:37:00
TX000050,SmurfIn_38,Agg_Mule,138.0,2026-01-02 08:38:00
TX000051,SmurfIn_39,Agg_Mule,139.0,2026-01-02 08:39:00
TX000052,SmurfIn_40,Agg_Mule,140.0,2026-01-02 08:40:00
TX000053,SmurfIn_41,Agg_Mule,141.0,2026-01-02 08:41:00
TX000054,SmurfIn_42,Agg_Mule,142.0,2026-01-02 08:42:00
TX000055,SmurfIn_43,Agg_Mule,143.0,2026-01-02 08:43:00
TX000056,SmurfIn_44,Agg_Mule,144.0,2026-01-02 08:44:00
TX000057,SmurfIn_45,Agg_Mule,145.0,2026-01-02 08:45:00
TX000058,SmurfIn_46,Agg_Mule,146.0,2026-01-02 08:46:00
TX000059,SmurfIn_47,Agg_Mule,147.0,2026-01-02 08:47:00
TX000060,SmurfIn_48,Agg_Mule,148.0,2026-01-02 08:48:00
TX000061,SmurfIn_49,Agg_Mule,149.0,2026-01-02 08:49:00
TX000062,SmurfIn_50,Agg_Mule,150.0,2026-01-02 08:50:00
TX000063,SmurfIn_51,Agg_Mule,151.0,2026-01-02 08:51:00
TX000064,SmurfIn_52,Agg_Mule,152.0,2026-01-02 08:52:00
TX000065,SmurfIn_53,Agg_Mule,153.0,2026-01-02 08:53:00
TX000066,SmurfIn_54,Agg_Mule,154.0,2026-01-02 08:54:00
TX000067,SmurfIn_55,Agg_Mule,155.0,2026-01-02 08:55:00
TX000068,SmurfIn_56,Agg_Mule,156.0,2026-01-02 08:56:00
TX000069,SmurfIn_57,Agg_Mule,157.0,2026-01-02 08:57:00
TX000070,SmurfIn_58,Agg_Mule,158.0,2026-01-02 08:58:00
TX000071,SmurfIn_59,Agg_Mule,159.0,2026-01-02 08:59:00
TX000072,SmurfIn_60,Agg_Mule,160.0,2026-01-02 09:00:00
TX000073,Disp_Mule,SmurfOut_1,151.0,2026-01-03 08:01:00
TX000074,Disp_Mule,SmurfOut_2,152.0,2026-01-03 08:02:00
TX000075,Disp_Mule,SmurfOut_3,153.0,2026-01-03 08:03:00
TX000076,Disp_Mule,SmurfOut_4,154.0,2026-01-03 08:04:00
TX000077,Disp_Mule,SmurfOut_5,155.0,2026-01-03 08:05:00
TX000078,Disp_Mule,SmurfOut_6,156.0,2026-01-03 08:06:00
TX000079,Disp_Mule,SmurfOut_7,157.0,2026-01-03 08:07:00
TX000080,Disp_Mule,SmurfOut_8,158.0,2026-01-03 08:08:00
TX000081,Disp_Mule,SmurfOut_9,159.0,2026-01-03 08:09:00
TX000082,Disp_Mule,SmurfOut_10,160.0,2026-01-03 08:10:00
TX000083,Disp_Mule,SmurfOut_11,161.0,2026-01-03 08:11:00
TX000084,Disp_Mule,SmurfOut_12,162.0,2026-01-03 08:12:00
TX000085,Disp_Mule,SmurfOut_13,163.0,2026-01-03 08:13:00
TX000086,Disp_Mule,SmurfOut_14,164.0,2026-01-03 08:14:00
TX000087,Disp_Mule,SmurfOut_15,165.0,2026-01-03 08:15:00
TX000088,Disp_Mule,SmurfOut_16,166.0,2026-01-03 08:16:00
TX000089,Disp_Mule,SmurfOut_17,167.0,2026-01-03 08:17:00
